Data,Impressions,Link Clicks
10/03/2022,2245,47
10/03/2022,885,12
10/03/2022,1084,13
10/03/2022,5316,57
10/03/2022,7107,83
10/03/2022,1031,12
10/03/2022,3001,42
10/03/2022,864,20
10/03/2022,2389,61
10/03/2022,2321,69
10/03/2022,230,6
10/03/2022,260,3
10/03/2022,116,
10/03/2022,429,5
10/03/2022,141,1
10/03/2022,23667,371
11/03/2022,219,1
11/03/2022,470,17
11/03/2022,189,3
11/03/2022,875,12
11/03/2022,376,7
11/03/2022,590,11
11/03/2022,1166,35
11/03/2022,685,14
11/03/2022,545,10
11/03/2022,176,4
11/03/2022,139,6
11/03/2022,15275,253
11/03/2022,56841,699
11/03/2022,2901,74
11/03/2022,957,16
11/03/2022,1015,13
11/03/2022,147,4
11/03/2022,1507,37
11/03/2022,196,4
11/03/2022,2847,35
11/03/2022,3388,36
11/03/2022,556,7
11/03/2022,1318,22
11/03/2022,368,5
11/03/2022,1348,44
11/03/2022,1313,26
11/03/2022,158,4
11/03/2022,171,1
11/03/2022,59,
11/03/2022,214,1
11/03/2022,101,
11/03/2022,86068,1628
11/03/2022,453,13
11/03/2022,3913,107
11/03/2022,11273,506
11/03/2022,53199,3032
11/03/2022,12256,246
11/03/2022,27,1
11/03/2022,438,18
11/03/2022,411,9
11/03/2022,570,2
11/03/2022,26,
11/03/2022,1856,65
11/03/2022,2842,24
11/03/2022,117,
11/03/2022,11725,62
11/03/2022,2661,47
11/03/2022,847,11
11/03/2022,37,
12/03/2022,95,1
12/03/2022,243,3
12/03/2022,177,8
12/03/2022,378,5
12/03/2022,131,3
12/03/2022,386,7
12/03/2022,1113,37
12/03/2022,694,18
12/03/2022,499,10
12/03/2022,199,4
12/03/2022,206,5
12/03/2022,15440,203
12/03/2022,47374,528
12/03/2022,3437,71
12/03/2022,964,21
12/03/2022,1118,26
12/03/2022,589,8
12/03/2022,11421,129
12/03/2022,662,9
12/03/2022,1350,13
12/03/2022,1613,29
12/03/2022,108,
12/03/2022,703,24
12/03/2022,133,6
12/03/2022,666,22
12/03/2022,756,17
12/03/2022,43,2
12/03/2022,84,1
12/03/2022,42,1
12/03/2022,136,6
12/03/2022,87,1
12/03/2022,73336,2084
12/03/2022,2433,96
12/03/2022,10035,309
12/03/2022,22457,857
12/03/2022,118198,5270
12/03/2022,17409,261
12/03/2022,189,1
12/03/2022,1162,19
12/03/2022,1729,17
12/03/2022,493,3
12/03/2022,138,3
12/03/2022,2121,64
12/03/2022,2515,14
12/03/2022,1431,5
12/03/2022,12532,44
12/03/2022,2901,64
12/03/2022,5426,36
12/03/2022,201,1
13/03/2022,58,
13/03/2022,166,6
13/03/2022,160,5
13/03/2022,492,13
13/03/2022,169,2
13/03/2022,441,12
13/03/2022,1392,34
13/03/2022,1064,15
13/03/2022,635,11
13/03/2022,333,3
13/03/2022,477,5
13/03/2022,15818,152
13/03/2022,44179,287
13/03/2022,3770,73
13/03/2022,1094,16
13/03/2022,1312,19
13/03/2022,905,8
13/03/2022,10864,112
13/03/2022,937,6
13/03/2022,2262,16
13/03/2022,78,1
13/03/2022,11,
13/03/2022,2943,33
13/03/2022,1815,40
13/03/2022,149,
13/03/2022,1382,31
13/03/2022,230,2
13/03/2022,884,28
13/03/2022,974,33
